Height,Weight,Age,Gender
159,98,39,Female
177,77,38,Male
150,82,21,Male
148,80,18,Male
159,58,30,Male
139,93,32,Male
156,62,31,Male
163,54,22,Male
170,86,34,Female
139,95,18,Female
141,98,25,Female
146,60,29,Male
160,52,18,Female
169,80,34,Female
154,104,23,Female
175,62,26,Male
161,78,25,Male
183,94,29,Male
140,68,18,Female
177,72,31,Female
147,97,34,Male
176,83,24,Male
189,94,29,Female
187,48,36,Female
177,54,31,Female
173,82,19,Female
146,93,20,Male
181,58,33,Female
180,105,39,Male
157,99,24,Male
183,48,40,Female
142,49,33,Female
170,96,23,Male
184,104,33,Male
161,50,32,Male
150,56,24,Female
169,78,39,Female
149,69,22,Female
177,65,22,Female
147,82,39,Female
169,82,19,Female
149,73,38,Female
143,98,26,Male
174,65,19,Male
187,72,32,Female
171,55,26,Female
143,73,20,Female
140,77,23,Male
187,48,21,Female
190,59,38,Female
157,49,34,Male
175,96,22,Female
173,72,24,Male
172,71,36,Male
156,103,36,Male
190,95,28,Female
166,60,26,Female
167,56,20,Male
171,81,27,Female
183,87,40,Male
142,96,28,Male
151,59,22,Female
146,56,25,Male
189,59,19,Female
178,55,38,Male
140,65,24,Female
178,96,40,Male
163,77,25,Female
185,85,27,Female
170,48,20,Male
157,104,29,Female
160,79,24,Female
146,61,28,Male
181,64,33,Female
140,58,23,Male
175,64,35,Male
167,79,38,Male
148,66,30,Male
156,84,35,Male
151,103,18,Female
138,66,24,Female
164,57,38,Male
181,103,26,Female
190,87,27,Male
167,84,21,Female
172,49,39,Female
187,94,32,Male
178,73,28,Male
139,85,26,Female
166,59,36,Female
165,77,34,Male
189,64,27,Male
168,58,25,Male
180,74,20,Male
179,83,21,Male
145,77,24,Female
140,105,38,Female
141,85,29,Female
150,90,39,Female
160,92,32,Male
172,74,33,Female
161,78,19,Male
187,94,33,Male
140,94,24,Male
171,71,27,Male
188,60,20,Female
178,80,25,Female
181,65,28,Male
138,49,26,Male
147,59,30,Female
155,64,26,Female
173,96,18,Male
187,94,35,Male
185,87,33,Male
175,73,32,Female
170,53,32,Female
153,53,39,Female
160,87,34,Female
174,68,33,Female
148,50,31,Male
161,89,39,Female
145,73,29,Female
184,75,29,Female
179,74,19,Female
163,65,22,Female
174,61,30,Male
162,95,31,Male
191,63,23,Female
188,56,24,Male
190,88,34,Male
137,66,31,Female
154,69,20,Male
170,67,27,Female
159,70,28,Female
154,82,31,Male
156,52,26,Male
177,100,35,Male
139,84,36,Male
185,93,34,Male
173,88,38,Male
167,105,24,Male
185,101,40,Female
177,80,22,Female
170,63,30,Male
165,98,33,Male
186,61,34,Male
137,101,30,Female
161,96,33,Female
180,91,35,Female
145,71,33,Male
162,56,40,Male
156,62,37,Male
164,104,22,Female
157,65,27,Female
168,72,18,Male
161,83,22,Male
146,62,22,Male
181,83,27,Male
160,73,23,Female
190,75,20,Female
140,57,21,Male
174,63,37,Female
143,60,23,Female
143,57,25,Female
190,103,38,Female
151,56,30,Female
147,93,23,Male
173,55,28,Male
145,60,20,Female
174,104,27,Female
185,65,34,Female
167,85,37,Female
172,58,23,Female
154,67,28,Female
186,82,36,Female
183,73,19,Male
191,55,28,Male
164,74,21,Male
148,55,23,Male
156,67,25,Female
157,72,33,Male
145,90,21,Female
164,65,33,Female
182,104,22,Male
150,77,40,Female
168,56,35,Male
155,83,39,Female
176,103,19,Female
153,83,29,Female
167,95,40,Female
152,102,26,Female
185,54,22,Male
174,50,40,Male
187,53,18,Female
163,77,33,Male
176,67,35,Female
179,63,29,Male
144,50,32,Male
140,90,36,Male
150,71,21,Female
187,50,37,Female
160,53,32,Female
188,80,27,Female
165,71,34,Female
170,55,26,Female
171,52,34,Female
163,104,36,Female
159,95,19,Female
152,84,18,Male
189,71,40,Male
149,55,22,Male
162,71,36,Female
151,61,19,Male
140,101,26,Female
141,88,29,Male
162,59,31,Female
153,69,19,Female
143,63,25,Male
179,58,38,Male
181,105,40,Male
150,103,28,Male
175,78,18,Female
152,53,19,Female
175,101,24,Male
155,56,33,Male
146,84,18,Female
175,78,29,Male
186,76,23,Female
153,83,28,Male
176,91,20,Female
156,65,31,Male
147,60,39,Male
180,96,26,Male
182,63,23,Female
186,100,31,Female
151,103,18,Male
155,102,38,Female
173,56,19,Female
141,56,40,Male
145,100,37,Male
152,103,22,Female
153,89,22,Female
154,88,38,Female
173,77,26,Male
177,48,32,Male
187,98,40,Female
160,48,36,Male
159,75,39,Female
149,82,26,Male
177,64,39,Male
176,84,25,Female
188,84,25,Male
161,53,38,Female
187,84,37,Female
176,85,40,Female
170,103,37,Female
151,71,26,Female
168,50,18,Female
182,72,38,Male
172,86,23,Female
184,85,32,Female
182,72,26,Male
181,83,33,Female
142,92,35,Male
178,105,18,Male
176,83,34,Female
156,57,31,Female
160,63,33,Male
156,86,29,Male
170,95,35,Male
155,59,23,Female
150,52,18,Male
137,105,20,Female
163,85,22,Female
164,58,38,Female
188,69,37,Male
190,56,28,Female
154,75,18,Male
178,56,36,Male
189,67,20,Female
173,92,38,Female
150,69,38,Female
164,52,38,Female
175,86,37,Male
148,98,24,Male
173,84,23,Male
141,87,31,Female
144,63,38,Female
148,87,27,Female
149,72,27,Female
180,88,35,Male
150,65,37,Female
156,102,23,Female
158,71,24,Female
183,82,36,Female
153,56,29,Female
142,94,35,Female
181,50,18,Male
160,50,37,Male
143,77,18,Male
175,56,26,Female
168,98,31,Female
138,79,40,Female
168,86,33,Female
137,99,40,Male
171,79,25,Male
168,62,40,Male
189,93,31,Male
177,84,32,Female
182,71,40,Male
140,77,36,Male
144,48,24,Male
157,88,39,Male
164,63,40,Female
168,85,37,Male
183,101,38,Male
156,102,30,Female
167,98,29,Female
147,103,32,Female
168,61,24,Male
148,105,37,Male
170,91,33,Male
170,70,24,Female
146,87,18,Female
187,65,34,Female
191,50,30,Male
179,72,27,Female
154,92,21,Female
150,85,37,Male
149,88,22,Female
144,94,33,Male
157,77,22,Male
189,104,36,Male
174,61,29,Male
162,86,29,Male
163,63,29,Male
173,93,24,Male
188,74,30,Female
189,68,25,Male
156,82,19,Male
179,69,35,Female
157,77,23,Male
189,71,37,Female
180,96,32,Female
147,90,36,Male
162,75,22,Male
171,79,38,Female
139,79,19,Male
169,75,25,Male
184,84,20,Female
155,87,19,Female
154,49,36,Female
166,57,35,Female
189,50,36,Female
173,70,37,Male
167,55,21,Female
174,96,32,Female
171,48,29,Female
183,70,38,Female
178,49,32,Female
186,90,33,Male
174,67,34,Male
187,97,18,Female
142,96,19,Male
182,73,19,Female
164,59,33,Male
167,102,28,Male
137,88,27,Male
144,61,38,Female
191,81,24,Male
153,73,29,Female
183,51,25,Male
181,88,22,Male
146,71,24,Female
188,51,30,Female
162,86,26,Male
171,52,28,Female
173,98,21,Female
189,93,23,Male
171,77,34,Male
157,74,23,Female
181,62,21,Female
184,84,19,Female
183,93,23,Female
149,61,27,Male
159,103,34,Male
150,82,20,Female
158,53,24,Male
139,97,25,Female
168,77,30,Male
177,65,25,Male
166,89,36,Male
174,58,38,Male
166,63,22,Male
187,102,29,Female
150,84,38,Male
138,94,34,Male
168,104,20,Male
184,59,29,Female
184,64,31,Male
167,72,30,Male
163,104,33,Female
187,68,19,Female
172,78,31,Female
152,55,21,Male
156,68,21,Female
158,69,39,Female
183,91,32,Female
149,76,31,Female
188,99,24,Female
141,105,37,Male
159,62,27,Female
184,59,21,Male
169,76,23,Female
191,90,21,Female
180,92,37,Male
181,78,18,Male
182,90,36,Male
144,61,31,Male
185,88,28,Male
189,62,29,Female
159,91,27,Female
137,59,27,Male
150,49,19,Female
164,57,37,Female
182,97,25,Female
160,86,25,Female
161,103,40,Male
180,87,21,Male
149,65,26,Female
141,58,35,Male
175,76,27,Male
168,80,26,Male
138,95,40,Male
185,94,21,Male
166,102,25,Male
171,96,28,Male
144,59,19,Female
174,56,32,Female
148,59,19,Female
174,93,25,Male
182,56,31,Male
189,91,19,Male
153,79,18,Male
190,48,29,Female
175,90,18,Female
184,56,33,Male
162,69,28,Female
154,53,31,Male
140,90,28,Male
137,56,20,Male
179,71,24,Male
137,66,37,Male
176,82,40,Female
139,73,40,Male
152,80,21,Female
157,84,40,Male
150,102,32,Female
145,65,20,Male
185,84,40,Female
160,90,33,Female
165,68,39,Female
166,69,35,Male
152,97,40,Male
175,69,20,Male
162,57,28,Male
149,58,40,Female
176,60,33,Male
159,69,27,Female
147,105,38,Male
171,54,27,Male
176,103,19,Male
160,89,40,Female
154,58,36,Male
172,61,28,Female
148,48,21,Female
171,85,32,Male
170,78,38,Male
139,62,32,Male
140,50,23,Male
189,54,28,Male
177,60,21,Female
142,52,33,Male
137,97,22,Male
164,61,33,Female
186,99,18,Female
141,68,33,Female
177,92,24,Male
169,103,19,Male
141,65,39,Male
178,71,21,Female
141,67,40,Female
154,80,33,Male
149,53,35,Male
177,91,34,Female
139,74,18,Male
149,56,39,Male
169,67,23,Female
163,86,30,Female
154,76,33,Male
190,69,36,Female
175,77,37,Female
171,105,20,Male
150,90,20,Male
187,94,29,Female
173,84,21,Female
178,95,22,Female
138,72,34,Male
143,56,20,Male
164,65,36,Male
155,91,37,Male
162,53,39,Male
144,90,18,Female
158,63,21,Male
157,97,28,Female
146,94,39,Male
183,65,40,Male
185,76,38,Female
146,91,30,Female
191,91,31,Female
140,65,23,Male
175,103,35,Female
149,84,21,Male
148,63,28,Female
161,48,27,Female
167,55,23,Female
151,94,26,Male
151,62,31,Female
174,102,29,Male
149,78,39,Male
190,80,22,Male
137,81,37,Male
165,56,39,Female
150,98,40,Male
157,71,18,Female
183,80,21,Female
170,56,30,Male
148,101,27,Male
144,51,32,Male
140,69,32,Female
160,102,35,Female
173,102,18,Male
145,86,40,Female
188,104,39,Male
183,58,25,Female
159,100,21,Male
170,105,35,Male
177,69,26,Female
175,97,33,Male
163,61,29,Female
183,56,20,Male
163,80,37,Female
187,68,30,Female
137,83,20,Male
151,84,35,Male
164,97,27,Female
174,56,21,Male
188,92,26,Male
168,52,27,Male
189,99,38,Male
173,92,27,Male
156,64,30,Female
172,100,27,Female
155,101,40,Male
182,70,33,Female
173,78,30,Male
157,49,23,Male
159,75,30,Male
183,99,38,Male
180,61,35,Female
142,67,35,Male
156,84,32,Male
164,97,39,Female
155,88,40,Female
142,58,22,Male
184,53,35,Female
140,56,27,Male
174,67,34,Female
162,92,22,Male
189,104,27,Male
145,102,22,Female
147,51,24,Female
171,50,39,Male
146,52,27,Male
163,77,25,Female
183,87,38,Female
171,99,35,Female
190,79,26,Male
177,104,32,Female
176,57,33,Male
175,74,30,Male
184,51,28,Male
137,80,38,Male
144,56,21,Female
175,70,39,Female
161,105,35,Male
158,81,38,Male
159,66,40,Male
166,101,25,Male
190,99,25,Female
146,103,27,Female
138,80,20,Male
148,100,20,Male
154,49,31,Female
172,70,40,Male
175,99,27,Male
160,91,28,Female
177,82,19,Female
150,90,21,Male
174,103,40,Male
144,61,39,Male
176,86,20,Female
141,85,37,Male
148,96,39,Female
154,57,19,Male
177,104,26,Male
170,105,21,Female
143,77,36,Female
139,100,29,Male
145,100,24,Female
157,102,29,Female
153,103,23,Female
160,69,40,Male
170,72,26,Female
188,94,32,Male
143,104,19,Male
145,78,27,Female
176,55,32,Female
190,88,26,Female
160,64,23,Female
152,67,25,Male
147,73,25,Female
175,59,36,Male
189,55,31,Male
165,94,21,Male
178,103,32,Female
144,82,18,Female
152,95,19,Female
184,97,40,Female
144,97,40,Female
147,56,31,Male
151,82,39,Female
170,50,36,Male
167,93,23,Female
189,72,22,Female
165,85,31,Female
145,96,36,Female
186,73,24,Female
186,85,36,Male
158,74,36,Female
142,97,18,Male
167,50,34,Male
167,91,35,Female
182,93,36,Female
142,93,22,Female
138,50,18,Male
173,70,26,Male
151,78,38,Male
137,59,24,Male
191,105,22,Female
184,73,26,Female
162,99,25,Female
157,73,27,Female
138,99,36,Male
148,51,32,Male
174,95,18,Male
152,95,21,Male
149,94,38,Female
142,83,21,Female
187,81,18,Female
147,102,35,Female
151,53,24,Female
145,88,24,Female
190,71,30,Female
191,62,36,Female
185,67,24,Female
188,60,19,Male
168,75,27,Female
148,99,23,Female
185,50,18,Female
155,81,26,Male
170,80,26,Male
169,87,29,Male
141,94,19,Male
141,63,38,Female
183,75,39,Female
175,103,31,Female
179,50,23,Female
190,50,22,Male
157,85,35,Female
186,93,21,Female
151,68,33,Female
144,100,32,Female
174,93,37,Female
157,63,26,Female
162,86,21,Female
143,84,36,Male
145,79,23,Female
150,91,20,Female
147,94,30,Male
144,63,40,Female
179,86,39,Male
141,63,39,Female
148,73,37,Male
137,76,20,Female
179,73,37,Male
171,50,29,Female
177,85,25,Female
142,80,31,Male
174,74,34,Female
153,81,35,Male
180,55,27,Male
190,71,36,Male
143,64,21,Male
165,88,37,Female
190,64,38,Male
175,83,27,Male
162,102,18,Male
180,101,19,Female
165,77,40,Female
189,48,21,Female
154,85,25,Male
189,93,27,Female
152,76,35,Female
151,73,35,Female
176,58,23,Male
164,80,38,Male
155,94,35,Female
166,101,33,Female
157,82,27,Male
172,100,23,Male
161,67,32,Male
183,75,31,Female
158,92,21,Female
142,67,28,Female
186,87,38,Male
172,52,26,Male
174,104,22,Female
188,75,21,Male
151,58,31,Male
188,105,35,Female
138,56,18,Male
145,75,34,Male
176,102,36,Male
177,79,24,Male
176,96,21,Female
143,82,36,Male
149,75,35,Male
181,57,28,Male
138,93,34,Female
172,65,20,Female
161,84,25,Female
150,61,30,Male
167,63,29,Female
189,55,26,Male
162,55,39,Male
156,93,19,Male
191,49,39,Male
164,75,18,Male
165,60,19,Male
168,104,28,Male
162,57,19,Male
144,69,22,Female
147,70,20,Female
168,71,37,Male
144,89,37,Female
158,105,26,Female
183,54,33,Female
